YR_EST,LAT_DEG,LONG_DEG,ELEV,PostOffice,State,County,DateEstablished,DateDiscontinued,ZipCode
1793,42.8142432,-73.9395687,74,SCHENECTADY,NY,SCHENECTADY COUNTY,04/25/1793,,12301
1793,41.2889866,-72.6817616,14,GUILFORD,CT,NEW HAVEN COUNTY,07/01/1793,,6437
1793,35.8546039,-77.0555114,21,WILLIAMSTON,NC,MARTIN COUNTY,10/01/1793,,27892
1794,37.3343079,-79.5230877,306,BEDFORD,VA,BEDFORD COUNTY,00/00/1794,,24523
1794,,,,GOLDSON'S,VA,BRUNSWICK COUNTY,00/00/1794,04/13/1807,
1794,37.5176453,-76.9788557,41,NEW KENT,VA,NEW KENT COUNTY,00/00/1794,,23124
1794,33.4918203,-80.8556476,74,ORANGEBURG,SC,ORANGEBURG COUNTY,00/00/1794,,29115
1794,43.905346,-72.1400896,120,ORFORD,NH,GRAFTON COUNTY,00/00/1794,,3777
1794,40.7047883,-78.8305848,491,UNIONTOWN,PA,FAYETTE COUNTY,00/00/1794,,15401
1794,37.9587447,-76.7580139,40,WARSAW,VA,RICHMOND COUNTY,00/00/1794,,22572
1794,43.2386868,-72.4245329,119,CHARLESTOWN,NH,SULLIVAN COUNTY,01/01/1794,,3603
1794,41.7142665,-72.6525922,25,WETHERSFIELD,CT,HARTFORD COUNTY,01/22/1794,7/1/23,
1794,42.2139817,-72.1022991,219,BROOKFIELD,MA,WORCESTER COUNTY,05/22/1794,,1506
1794,38.6411854,-83.744365,165,MAYSVILLE,KY,MASON COUNTY,05/24/1794,,41056
1794,41.4570418,-72.8231552,27,WALLINGFORD,CT,NEW HAVEN COUNTY,05/26/1794,,6492
1794,39.1620036,-84.4568863,191,CINCINNATI,OH,HAMILTON COUNTY,06/07/1794,,45234
1794,40.0639616,-80.7209149,203,WHEELING,WV,OHIO COUNTY,06/07/1794,,26003
1794,38.2009055,-84.8732836,155,FRANKFORT,KY,FRANKLIN COUNTY,06/11/1794,,40601
1794,37.9886892,-84.4777153,295,LEXINGTON,KY,FAYETTE COUNTY,06/11/1794,,40511
1794,,,,WASHINGTON,KY,MASON COUNTY,06/11/1794,,41096
1794,41.2787104,-72.5275904,11,CLINTON,CT,MIDDLESEX COUNTY,07/01/1794,,6413
1794,39.8947975,-80.1617292,300,MORRISVILLE,PA,BUCKS COUNTY,07/10/1794,,19067
1794,35.7201463,-79.1772371,124,PITTSBORO,NC,CHATHAM COUNTY,08/00/1794,,27312
1794,39.744544,-77.0880385,192,LITTLESTOWN,PA,ADAMS COUNTY,08/04/1794,,17340
1794,37.4137536,-79.1422464,192,LYNCHBURG,VA,INDEPENDENT CITY,08/08/1794,,24505
1794,44.3106241,-69.7794897,38,AUGUSTA,ME,KENNEBEC COUNTY,08/12/1794,,4330
1794,39.0839973,-77.1527578,137,ROCKVILLE,MD,MONTGOMERY COUNTY,08/19/1794,,20850
1794,39.457334,-75.6613184,18,ODESSA,DE,NEW CASTLE COUNTY,08/20/1794,,19730
1794,35.9606384,-83.9207392,276,KNOXVILLE,TN,KNOX COUNTY,08/21/1794,,37901
1794,36.1823602,-80.3381077,249,BETHANIA,NC,FORSYTH COUNTY,08/22/1794,,27010
1794,35.2270869,-80.8431268,232,CHARLOTTE,NC,MECKLENBURG COUNTY,08/22/1794,,28204
1794,44.3878547,-68.7997522,25,CASTINE,ME,HANCOCK COUNTY,09/00/1794,,4421
1794,40.9378777,-72.3009158,13,BRIDGEHAMPTON,NY,SUFFOLK COUNTY,09/25/1794,,11932
1794,40.9978773,-72.2925819,8,SAG HARBOR,NY,SUFFOLK COUNTY,09/25/1794,,11963
1794,40.8559314,-73.2006687,18,SMITHTOWN,NY,SUFFOLK COUNTY,09/25/1794,,11787
1794,41.5514979,-70.6147519,2,FALMOUTH,MA,BARNSTABLE COUNTY,10/00/1794,,2540
1794,42.7006303,-74.924321,374,COOPERSTOWN,NY,OTSEGO COUNTY,10/01/1794,,13326
1794,42.2417669,-70.8897676,5,HINGHAM,MA,PLYMOUTH COUNTY,10/01/1794,,2043
1794,37.8017879,-80.4456303,634,LEWISBURG,WV,GREENBRIER COUNTY,10/01/1794,,24901
1794,42.5250906,-71.759794,122,LEOMINSTER,MA,WORCESTER COUNTY,10/07/1794,,1453
1794,44.478412,-68.0383389,25,GOULDSBORO,ME,HANCOCK COUNTY,10/08/1794,5/28/71,
1794,36.4423754,-77.0985753,25,MURFREESBORO,NC,HERTFORD COUNTY,10/14/1794,,27855
1794,40.1778887,-74.5834887,25,ALLENTOWN,NJ,MONMOUTH COUNTY,10/20/1794,,8501
1794,39.5359406,-76.3482931,118,BEL AIR,MD,HARFORD COUNTY,11/00/1794,,21014
1794,36.7659709,-78.9283441,141,HALIFAX,VA,HALIFAX COUNTY,11/02/1794,,24558
1794,42.8689552,-76.9777436,135,GENEVA,NY,ONTARIO COUNTY,11/05/1794,,14456
1794,42.4556475,-71.6731246,94,LANCASTER,MA,WORCESTER COUNTY,11/12/1794,,1523
1794,42.1056525,-71.5522859,111,MENDON,MA,WORCESTER COUNTY,11/15/1794,,1756
1794,44.0345102,-72.0639782,191,HAVERHILL,NH,GRAFTON COUNTY,11/25/1794,,3765
1794,34.3807012,-81.0864776,163,WINNSBORO,SC,FAIRFIELD COUNTY,11/26/1794,,29180
1794,36.8256943,-79.3980806,222,CHATHAM,VA,PITTSYLVANIA COUNTY,12/01/1794,,24531
1794,42.4639722,-73.3964977,212,NEW LEBANON,NY,COLUMBIA COUNTY,12/02/1794,,12125
1794,43.7570166,-71.6881337,157,PLYMOUTH,NH,GRAFTON COUNTY,12/18/1794,,3264
1795,,,,GEE'S BRIDGE,VA,BRUNSWICK COUNTY,00/00/1795,00/00/1813,
1795,34.6182199,-79.0086425,39,LUMBERTON,NC,ROBESON COUNTY,00/00/1795,,28358
1795,42.6584254,-71.1370012,55,ANDOVER,MA,ESSEX COUNTY,01/01/1795,,1810
1795,39.9009252,-77.5210994,292,BROWNSVILLE,PA,FAYETTE COUNTY,01/01/1795,,15417
1795,42.8742314,-77.2880382,240,CANANDAIGUA,NY,ONTARIO COUNTY,01/01/1795,,14424
1795,38.4731815,-77.9966639,126,CULPEPER,VA,CULPEPER COUNTY,01/01/1795,,22701
1795,41.8139905,-71.1203229,4,DIGHTON,MA,BRISTOL COUNTY,01/01/1795,,2715
1795,41.3890052,-70.5133599,2,EDGARTOWN,MA,DUKES COUNTY,01/01/1795,,2539
1795,40.5123258,-74.8593318,53,FLEMINGTON,NJ,HUNTERDON COUNTY,01/01/1795,,8822
1795,41.8823187,-72.9770488,137,NEW HARTFORD,CT,LITCHFIELD COUNTY,01/01/1795,,6057
1795,44.0792316,-72.0584234,141,NEWBURY,VT,ORANGE COUNTY,01/01/1795,,5051
1795,40.6726014,-74.7473849,66,OLDWICK,NJ,HUNTERDON COUNTY,01/01/1795,,8858
1795,35.772096,-78.6386145,96,RALEIGH,NC,WAKE COUNTY,01/01/1795,,27611
